"T.Max","T.Min","Rain","Date","Date2","lat","long","week","year","groups","cumulative_rain","season"
29.1,22.2,16.6,2024-02-29,"29/02/2024",-17.9,145.45,9,2024,16,52,"late_wet"
29.4,20.8,1.1,2024-03-01,"1/03/2024",-17.9,145.45,9,2024,16,52,"late_wet"
30.3,19.7,0.4,2024-03-02,"2/03/2024",-17.9,145.45,9,2024,16,52,"late_wet"
30.6,20.9,0,2024-03-03,"3/03/2024",-17.9,145.45,9,2024,16,52,"late_wet"
31.1,21.1,8.7,2024-03-04,"4/03/2024",-17.9,145.45,10,2024,16,79.4,"late_wet"
29.8,21.6,8.8,2024-03-05,"5/03/2024",-17.9,145.45,10,2024,16,79.4,"late_wet"
28.7,21.5,3.7,2024-03-06,"6/03/2024",-17.9,145.45,10,2024,16,79.4,"late_wet"
29.8,20.8,8.9,2024-03-07,"7/03/2024",-17.9,145.45,10,2024,16,79.4,"late_wet"
27.7,21.6,22.4,2024-03-08,"8/03/2024",-17.9,145.45,10,2024,16,79.4,"late_wet"
27.1,21.6,15.4,2024-03-09,"9/03/2024",-17.9,145.45,10,2024,16,79.4,"late_wet"
