"date","site","group","measured_temperature_average","measured_temperature_max","measured_temperature_min","silo_max_temperature","silo_min_temperature","silo_rain","Date2","lat","long","silo_average_temperature","month","predict_temp_avg","predict_temp_max","predict_temp_min","composite_temperature_max","composite_temperature_min","composite_temperature_avg"
2024-01-23,"site-b",10,NA,NA,NA,32.5,19.9,0,"23/01/2024",-17.95,145.4,26.2,1,24.6179065520153,42.7103074090984,18.5046856123715,42.7103074090984,18.5046856123715,24.6179065520153
2024-01-24,"site-b",10,NA,NA,NA,31.5,21.8,0,"24/01/2024",-17.95,145.4,26.65,1,25.1430765325285,41.1639533940724,21.0219805852592,41.1639533940724,21.0219805852592,25.1430765325285
2024-01-25,"site-b",10,NA,NA,NA,26.9,21.6,0.1,"25/01/2024",-17.95,145.4,24.25,1,22.3421699697911,34.0507249249528,20.7570021670605,34.0507249249528,20.7570021670605,22.3421699697911
2024-01-26,"site-b",10,NA,NA,NA,30.3,20.7,49.8,"26/01/2024",-17.95,145.4,25.5,1,23.8009754712169,39.3083285760412,19.5645992851663,39.3083285760412,19.5645992851663,23.8009754712169
2024-01-27,"site-b",10,NA,NA,NA,30.7,22.5,0.3,"27/01/2024",-17.95,145.4,26.6,1,25.0847243124715,39.9268701820516,21.9494050489547,39.9268701820516,21.9494050489547,25.0847243124715
2024-01-28,"site-b",10,NA,NA,NA,31.9,22.2,1,"28/01/2024",-17.95,145.4,27.05,1,25.6098942929848,41.7824950000828,21.5519374216566,41.7824950000828,21.5519374216566,25.6098942929848
2024-01-29,"site-b",10,NA,NA,NA,32.9,23.2,2.2,"29/01/2024",-17.95,145.4,28.05,1,26.7769386941254,43.3288490151088,22.8768295126501,43.3288490151088,22.8768295126501,26.7769386941254
2024-01-30,"site-b",10,NA,NA,NA,33,24,7.9,"30/01/2024",-17.95,145.4,28.5,1,27.3021086746386,43.4834844166114,23.936743185445,43.4834844166114,23.936743185445,27.3021086746386
2024-01-31,"site-b",10,NA,NA,NA,29.5,22.8,6.8,"31/01/2024",-17.95,145.4,26.15,1,24.5595543319582,38.0712453640204,22.3468726762527,38.0712453640204,22.3468726762527,24.5595543319582
2024-02-01,"site-b",10,NA,NA,NA,29.7,22.4,3.3,"1/02/2024",-17.95,145.4,26.05,2,24.5217035198377,37.6639166837299,21.8032145178065,37.6639166837299,21.8032145178065,24.5217035198377
2024-02-02,"site-b",10,NA,NA,NA,29,22.7,25.5,"2/02/2024",-17.95,145.4,25.85,2,24.2882946396096,36.5814688732117,22.2006821451046,36.5814688732117,22.2006821451046,24.2882946396096
2024-02-03,"site-b",10,NA,NA,NA,30.4,22.5,8.3,"3/02/2024",-17.95,145.4,26.45,2,24.9885212802939,38.7463644942481,21.9357037269059,38.7463644942481,21.9357037269059,24.9885212802939
2024-02-04,"site-b",10,NA,NA,NA,30.7,22.8,0.5,"4/02/2024",-17.95,145.4,26.75,2,25.3386346006361,39.2102706987559,22.3331713542039,39.2102706987559,22.3331713542039,25.3386346006361
2024-02-05,"site-b",10,NA,NA,NA,29.8,21.8,9.7,"5/02/2024",-17.95,145.4,25.8,2,24.2299424195525,37.8185520852325,21.0082792632104,37.8185520852325,21.0082792632104,24.2299424195525
2024-02-06,"site-b",10,NA,NA,NA,30.2,21.4,5.1,"6/02/2024",-17.95,145.4,25.8,2,24.2299424195525,38.4370936912429,20.478322426813,38.4370936912429,20.478322426813,24.2299424195525
2024-02-07,"site-b",10,NA,NA,NA,31.7,21.1,4,"7/02/2024",-17.95,145.4,26.4,2,24.9301690602369,40.7566247137819,20.0808547995149,40.7566247137819,20.0808547995149,24.9301690602369
2024-02-08,"site-b",10,NA,NA,NA,29.5,21.1,0,"8/02/2024",-17.95,145.4,25.3,2,23.6464202189822,37.3546458807247,20.0808547995149,37.3546458807247,20.0808547995149,23.6464202189822
2024-02-09,"site-b",10,NA,NA,NA,30,20.8,0.4,"9/02/2024",-17.95,145.4,25.4,2,23.7631246590963,38.1278228882377,19.6833871722169,38.1278228882377,19.6833871722169,23.7631246590963
2024-02-10,"site-b",10,NA,NA,NA,29,20.6,2.8,"10/02/2024",-17.95,145.4,24.8,2,23.0628980184119,36.5814688732117,19.4184087540182,36.5814688732117,19.4184087540182,23.0628980184119
2024-02-11,"site-b",10,NA,NA,NA,30.8,19.3,0,"11/02/2024",-17.95,145.4,25.05,2,23.3546591186971,39.3649061002585,17.6960490357266,39.3649061002585,17.6960490357266,23.3546591186971
2024-02-12,"site-b",10,NA,NA,NA,30,20.8,2,"12/02/2024",-17.95,145.4,25.4,2,23.7631246590963,38.1278228882377,19.6833871722169,38.1278228882377,19.6833871722169,23.7631246590963
2024-02-13,"site-b",10,NA,NA,NA,30.3,21.3,1.9,"13/02/2024",-17.95,145.4,25.8,2,24.2299424195525,38.5917290927455,20.3458332177137,38.5917290927455,20.3458332177137,24.2299424195525
2024-02-14,"site-b",10,NA,NA,NA,29.9,20.1,1.1,"14/02/2024",-17.95,145.4,25,2,23.2963068986401,37.9731874867351,18.7559627085214,37.9731874867351,18.7559627085214,23.2963068986401
2024-02-15,"site-b",10,NA,NA,NA,29.1,20.9,0,"15/02/2024",-17.95,145.4,25,2,23.2963068986401,36.7361042747143,19.8158763813162,36.7361042747143,19.8158763813162,23.2963068986401
2024-02-16,"site-b",10,NA,NA,NA,27.8,21.3,4.5,"16/02/2024",-17.95,145.4,24.55,2,22.7711369181268,34.7258440551805,20.3458332177137,34.7258440551805,20.3458332177137,22.7711369181268
2024-02-17,"site-b",10,NA,NA,NA,28.7,21.7,11.8,"17/02/2024",-17.95,145.4,25.2,2,23.5297157788682,36.1175626687039,20.8757900541111,36.1175626687039,20.8757900541111,23.5297157788682
2024-02-18,"site-b",10,NA,NA,NA,29,21.9,19.4,"18/02/2024",-17.95,145.4,25.45,2,23.8214768791533,36.5814688732117,21.1407684723098,36.5814688732117,21.1407684723098,23.8214768791533
2024-02-19,"site-b",10,NA,NA,NA,29.1,21,2.2,"19/02/2024",-17.95,145.4,25.05,2,23.3546591186971,36.7361042747143,19.9483655904156,36.7361042747143,19.9483655904156,23.3546591186971
2024-02-20,"site-b",10,NA,NA,NA,29.6,20.7,0.1,"20/02/2024",-17.95,145.4,25.15,2,23.4713635588111,37.5092812822273,19.5508979631175,37.5092812822273,19.5508979631175,23.4713635588111
2024-02-21,"site-b",10,NA,NA,NA,27.5,21.4,0.1,"21/02/2024",-17.95,145.4,24.45,2,22.6544324780127,34.2619378506727,20.478322426813,34.2619378506727,20.478322426813,22.6544324780127
2024-02-22,"site-b",10,NA,NA,NA,25.8,21,9.4,"22/02/2024",-17.95,145.4,23.4,2,21.4290358568151,31.6331360251285,19.9483655904156,31.6331360251285,19.9483655904156,21.4290358568151
2024-02-23,"site-b",10,NA,NA,NA,26.7,20.3,15.2,"23/02/2024",-17.95,145.4,23.5,2,21.5457402969292,33.0248546386519,19.0209411267201,33.0248546386519,19.0209411267201,21.5457402969292
2024-02-24,"site-b",10,NA,NA,NA,27.8,20.4,36.3,"24/02/2024",-17.95,145.4,24.1,2,22.2459669376135,34.7258440551805,19.1534303358195,34.7258440551805,19.1534303358195,22.2459669376135
2024-02-25,"site-b",10,NA,NA,NA,27.6,20.9,0.6,"25/02/2024",-17.95,145.4,24.25,2,22.4210235977846,34.4165732521753,19.8158763813162,34.4165732521753,19.8158763813162,22.4210235977846
2024-02-26,"site-b",10,NA,NA,NA,30.5,21.7,4.3,"26/02/2024",-17.95,145.4,26.1,2,24.5800557398947,38.9009998957507,20.8757900541111,38.9009998957507,20.8757900541111,24.5800557398947
2024-02-27,"site-b",10,NA,NA,NA,28.9,21.9,19.4,"27/02/2024",-17.95,145.4,25.4,2,23.7631246590963,36.4268334717091,21.1407684723098,36.4268334717091,21.1407684723098,23.7631246590963
2024-02-28,"site-b",10,NA,NA,NA,27.7,22.7,3.3,"28/02/2024",-17.95,145.4,25.2,2,23.5297157788682,34.5712086536779,22.2006821451046,34.5712086536779,22.2006821451046,23.5297157788682
2024-02-29,"site-b",10,NA,NA,NA,29.3,22.4,11.8,"29/02/2024",-17.95,145.4,25.85,2,24.2882946396096,37.0453750777195,21.8032145178065,37.0453750777195,21.8032145178065,24.2882946396096
2024-03-01,"site-b",10,NA,NA,NA,29.7,20.9,0.8,"1/03/2024",-17.95,145.4,25.3,3,23.7252738469757,36.9473172004341,19.8021750592675,36.9473172004341,19.8021750592675,23.7252738469757
2024-03-02,"site-b",10,NA,NA,NA,30.6,19.8,0.2,"2/03/2024",-17.95,145.4,25.2,3,23.6085694068617,38.3390358139575,18.3447937591746,38.3390358139575,18.3447937591746,23.6085694068617
2024-03-03,"site-b",10,NA,NA,NA,30.9,21.1,0,"3/03/2024",-17.95,145.4,26,3,24.5422049277741,38.8029420184653,20.0671534774662,38.8029420184653,20.0671534774662,24.5422049277741
2024-03-04,"site-b",10,NA,NA,NA,31.3,21.2,6.7,"4/03/2024",-17.95,145.4,26.25,3,24.8339660280593,39.4214836244757,20.1996426865655,39.4214836244757,20.1996426865655,24.8339660280593
2024-03-05,"site-b",10,NA,NA,NA,30,21.7,6.7,"5/03/2024",-17.95,145.4,25.85,3,24.367148267603,37.4112234049419,20.8620887320623,37.4112234049419,20.8620887320623,24.367148267603
2024-03-06,"site-b",10,NA,NA,NA,28.9,21.6,1.9,"6/03/2024",-17.95,145.4,25.25,3,23.6669216269187,35.7102339884133,20.7295995229629,35.7102339884133,20.7295995229629,23.6669216269187
