"index","season_weekly","rain_weekly","removal_num_weekly","removal_freq_weekly","temp_weekly","det.Predicted","det.SE","det.lower","det.upper"
 33,"late_dry",3.398572e-01,1,0,30.83028,0.039498947,0.033114621,0.007399679,0.185421030
 33,"late_wet",3.897028e+01,3,0,38.49662,0.219861474,0.158672414,0.054138635,0.608134217
 33,"wet",9.948074e+01,4,0,34.13839,0.080496407,0.084038087,0.015290027,0.437208655
 34,"dry",1.013791e+01,0,0,26.31492,0.069143728,0.053097034,0.014540168,0.272336191
 34,"early_dry",1.637569e+01,3,0,32.18951,0.105828849,0.091293460,0.021680912,0.438120341
 34,"late_dry",4.853515e-01,3,0,29.04579,0.043122387,0.045841925,0.005900631,0.296084255
 34,"late_wet",4.675136e+01,3,1,38.81908,0.218135385,0.198182948,0.033674444,0.708430929
 34,"wet",7.878301e+01,4,1,37.50543,0.077387113,0.095512621,0.008500145,0.513937892
 35,"dry",1.513441e+00,3,0,24.09101,0.079142230,0.083452728,0.010958678,0.448704777
 35,"early_dry",3.536214e+00,4,1,31.07417,0.116503313,0.137127605,0.013701645,0.623722703
 35,"late_dry",9.041818e-02,1,0,29.79256,0.040916288,0.034211534,0.007687850,0.190828114
 35,"late_wet",4.511181e+01,2,1,37.07781,0.226928190,0.179585570,0.043444606,0.672758690
 35,"wet",1.216972e+02,2,0,33.66025,0.075687402,0.057715445,0.017604130,0.289500517
 36,"dry",9.278252e+00,3,1,25.39844,0.075861103,0.089278221,0.007797033,0.497824607
 36,"early_dry",5.915155e+00,4,0,31.79057,0.111240123,0.112265397,0.020761734,0.513029468
 36,"late_dry",1.658017e-01,0,0,30.29549,0.039671304,0.032061124,0.007878453,0.176893488
 36,"late_wet",4.226232e+01,1,0,37.67510,0.218250224,0.107667871,0.075498714,0.489592746
 36,"wet",2.679821e+01,2,0,35.56746,0.088862389,0.060411920,0.023952592,0.299994543
 37,"dry",4.945786e+00,0,0,26.20816,0.070277159,0.053908925,0.014792973,0.275834744
