"index","season_weekly","rain_weekly","removal_num_weekly","removal_freq_weekly","temp_weekly","det.Predicted","det.SE","det.lower","det.upper"
 33,"early_dry",1.079884e+01,4,0,31.85854,0.14447443,0.06589801,0.06318790,0.30606345
 33,"late_dry",3.398572e-01,1,0,30.83028,0.26090038,0.06912267,0.14921589,0.41532461
 33,"late_wet",3.897028e+01,3,0,38.49662,0.10734696,0.05081479,0.04346938,0.24648328
 33,"wet",9.948074e+01,4,0,34.13839,0.12879642,0.05789292,0.05714824,0.27823636
 34,"dry",1.013791e+01,0,0,26.31492,0.08895232,0.04593737,0.03119634,0.22844899
 34,"early_dry",1.637569e+01,3,0,32.18951,0.13972220,0.05750183,0.06419623,0.28271265
 34,"late_dry",4.853515e-01,3,0,29.04579,0.28633209,0.09039135,0.15052076,0.47700050
 34,"late_wet",4.675136e+01,3,1,38.81908,0.10628254,0.06133460,0.03742375,0.29401355
 34,"wet",7.878301e+01,4,1,37.50543,0.11317008,0.07119665,0.03937983,0.31124460
 35,"dry",1.513441e+00,3,0,24.09101,0.10354684,0.05805613,0.03384897,0.27857676
 35,"early_dry",3.536214e+00,4,1,31.07417,0.14851774,0.08062429,0.05680617,0.36645162
 35,"late_dry",9.041818e-02,1,0,29.79256,0.27060071,0.07208674,0.15469219,0.42917841
 35,"late_wet",4.511181e+01,2,1,37.07781,0.11140008,0.05745408,0.04255879,0.28821345
 35,"wet",1.216972e+02,2,0,33.66025,0.12653267,0.04540257,0.06200046,0.24315662
 36,"dry",9.278252e+00,3,1,25.39844,0.09826334,0.06146136,0.02928141,0.29803073
 36,"early_dry",5.915155e+00,4,0,31.79057,0.14464648,0.06592401,0.06324589,0.30640860
 36,"late_dry",1.658017e-01,0,0,30.29549,0.26194794,0.06830404,0.15155105,0.41348580
 36,"late_wet",4.226232e+01,1,0,37.67510,0.10639672,0.04202812,0.04791886,0.21988410
 36,"wet",2.679821e+01,2,0,35.56746,0.11408694,0.04423871,0.05380088,0.22718209
 37,"dry",4.945786e+00,0,0,26.20816,0.08921109,0.04601266,0.03130789,0.22893323
 37,"early_dry",2.097985e+01,2,0,32.62713,0.13466978,0.05062524,0.06512113,0.25951093
 37,"late_dry",4.222345e-01,0,1,29.55968,0.26900735,0.09284935,0.13923141,0.47551189
 37,"late_wet",4.623756e+01,4,0,38.36120,0.11077109,0.05785008,0.04258532,0.26907165
 37,"wet",7.042259e+01,3,0,33.02103,0.13068094,0.05184724,0.06128430,0.26459367
 38,"dry",1.027968e+01,3,1,24.64434,0.10141333,0.06280533,0.03044526,0.30488408
 38,"early_dry",1.683557e+01,1,1,32.44364,0.13272669,0.05942634,0.05908761,0.29850234
 38,"late_dry",5.192058e-01,4,0,31.89981,0.26433056,0.09491902,0.13135646,0.45694837
 38,"late_wet",4.483165e+01,4,1,38.17390,0.11154571,0.06847567,0.03752423,0.31951798
 38,"wet",1.116586e+02,5,1,34.93330,0.12851884,0.07860124,0.04672421,0.34450667
 39,"dry",7.019509e+00,2,1,24.93795,0.09798073,0.05798558,0.03077402,0.28594128
 39,"early_dry",1.820906e+01,3,1,33.44328,0.13353819,0.07241862,0.05140299,0.32961162
 39,"late_dry",1.692524e-01,5,0,29.39415,0.29214136,0.11017847,0.14211778,0.50128426
 39,"late_wet",3.373120e+01,5,1,38.18214,0.11402230,0.07644156,0.03628220,0.33880227
 39,"wet",1.112493e+02,3,0,32.97695,0.13235978,0.05213822,0.06206222,0.26774703
 40,"dry",4.122454e+00,2,1,24.68824,0.09894896,0.05846203,0.03111908,0.28810910
 40,"early_dry",9.974875e+00,1,0,30.65216,0.14219439,0.04649536,0.07322627,0.25830993
 40,"late_dry",6.256049e-04,1,1,31.79461,0.25226939,0.08987309,0.12737165,0.45615961
 40,"late_wet",2.793420e+01,3,1,39.30081,0.10375996,0.06101584,0.03601877,0.29019440
 40,"wet",1.076362e+01,3,1,33.28848,0.12734167,0.06460497,0.05131310,0.31446909
 41,"dry",9.965525e+00,4,0,24.43198,0.10460790,0.06284254,0.03255415,0.29502184
