"index","season_weekly","removal_num_weekly","removal_freq_weekly","temp_weekly","det.Predicted","det.SE","det.lower","det.upper"
 29,"late_dry",4,0,31.99897,0.39726188,0.23357844,0.10952143,0.72626083
 29,"late_wet",2,1,36.06605,0.20605676,0.13407733,0.05528284,0.55931447
 29,"wet",0,0,37.14531,0.10670555,0.03563951,0.05544140,0.19576900
 30,"dry",0,0,25.62169,0.14954894,0.05713373,0.06809979,0.29757379
 30,"early_dry",4,1,31.29966,0.27240584,0.19787423,0.05433498,0.69978138
 30,"late_dry",5,0,30.78915,0.44268704,0.28053794,0.10427024,0.77034635
 30,"late_wet",5,1,38.17394,0.25301451,0.22998051,0.03374022,0.73326194
 30,"wet",5,1,34.67268,0.18384024,0.17752235,0.02477002,0.63437697
 31,"dry",5,1,24.68710,0.23100706,0.20115963,0.03603334,0.67640955
 31,"early_dry",3,1,31.17292,0.24913851,0.16038844,0.06291906,0.62904326
 31,"late_dry",3,1,28.84711,0.37297095,0.20538642,0.10366141,0.76065682
 31,"late_wet",3,1,37.74213,0.21039080,0.15169937,0.04570336,0.60346872
 31,"wet",5,0,36.86492,0.19517942,0.20286027,0.03335581,0.57331982
 32,"dry",5,1,25.58723,0.22228963,0.19618036,0.03439223,0.66447215
 32,"early_dry",5,0,32.61616,0.31951956,0.25983563,0.06817833,0.67463724
 32,"late_dry",2,0,29.85420,0.36677684,0.14037073,0.15864341,0.63233050
 32,"late_wet",1,0,37.09818,0.20036894,0.07956245,0.08835929,0.39244237
 32,"wet",3,0,33.99104,0.17425703,0.11351247,0.05401616,0.44069326
 33,"dry",4,1,25.31124,0.20255302,0.15449496,0.04064428,0.59248796
 33,"early_dry",4,0,32.01339,0.29824057,0.20598943,0.08069151,0.62996450
 33,"late_dry",3,0,30.03000,0.39371088,0.18546493,0.13960188,0.69723789
 33,"late_wet",4,1,37.97280,0.23052661,0.18635713,0.03974886,0.67328153
 33,"wet",1,0,36.50277,0.12336221,0.04779428,0.05883876,0.24030937
 34,"dry",4,0,24.39588,0.24005169,0.18629420,0.05438927,0.60159398
 34,"early_dry",4,0,31.31492,0.30604902,0.20715817,0.08444561,0.63701704
 34,"late_dry",0,1,31.00233,0.26921829,0.14585538,0.09605450,0.60653664
 34,"late_wet",5,0,38.09310,0.28775681,0.25588102,0.05097765,0.67488027
